Date,DAI_borrowRate,ETH_borrowRate,USDC_borrowRate,USDT_borrowRate,DAI_cash,ETH_cash,USDC_cash,USDT_cash,DAI_collateralFactor,ETH_collateralFactor,USDC_collateralFactor,USDT_collateralFactor,DAI_reserves,ETH_reserves,USDC_reserves,USDT_reserves,DAI_supplyRate,ETH_supplyRate,USDC_supplyRate,USDT_supplyRate,DAI_totalBorrows,ETH_totalBorrows,USDC_totalBorrows,USDT_totalBorrows,DAI_totalSupply,ETH_totalSupply,USDC_totalSupply,USDT_totalSupply,DAI_reserveFactor,ETH_reserveFactor,USDC_reserveFactor,USDT_reserveFactor
2022-05-31,0.0248291745159,0.0227386323068598,0.018749160135971398,0.030932284018818004,386871194.42761517,744998.3639379475,746405868.8993884,221044779.62039033,0.8093750000000001,0.8249999999999998,0.8093750000000001,0.0,20911128.38491572,701.3389061953773,13243074.682494022,3042359.049116021,0.0104802947814156,0.000498649136643,0.0065038431426108,0.0177027453570588,360992764.9075839,20974.966971271682,439863531.54434735,353557529.31755,33026940244.40245,38141471.10791146,51882742845.02445,26155384535.503437,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-01,0.0247475104220736,0.0227828314763202,0.0191165099093778,0.0310937212182084,389234826.79194015,728681.8869995548,738112433.401505,216367888.86846253,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20915028.85077151,701.6155259704273,13244914.527013624,3044795.3871492916,0.0104123257574556,0.000507682393017,0.0067607066979600006,0.0178863810470982,360897124.82823807,20858.33027560406,448684649.7353907,350836494.7161701,33128794313.18382,37322369.29620685,51904995922.615,25815362700.430496,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-02,0.0247990305601416,0.022794636386883,0.0191214987235086,0.031269132447957,387060281.3419476,729178.9167282926,742086299.9595555,212926435.90034154,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20918958.596102607,701.8934181817408,13246795.321762396,3047208.524849875,0.0104548701592368,0.0005100994166076001,0.0067642714677882,0.018088904807493,360301085.7068148,20963.773711431277,451324386.4867852,350351566.8964724,33001738437.188217,37352327.45147737,52196399176.64864,25634230475.506268,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-03,0.024832568025231597,0.0227967162330366,0.0191166708164304,0.031442920358470204,389239612.80550027,730223.0923696175,739799965.1561667,209465837.91992876,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20922885.488678858,702.1733615283151,13248688.22696154,3049600.5230629165,0.010483241455411199,0.0005105267121942001,0.0067608236052846,0.0182909486754654,363414612.90390235,21009.192228490127,449729758.1454074,349734836.5443946,33240996494.703022,37406563.14914776,52023634486.22217,25446210405.266804,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-04,0.0248407259178882,0.022768593916954797,0.0190777866213048,0.0319684272827256,389491787.9555134,739668.4366678338,742127167.5672969,201622098.13267004,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20926813.964666236,702.4484349912559,13250551.198758416,3052028.5836367705,0.010490072916707999,0.000504762162264,0.0067333379826468,0.0189071055224928,363896710.5202351,21061.475608777535,449687216.74900246,352023271.0732868,33273161509.818478,37879857.91388509,52123579982.570496,25190559773.307224,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-05,0.024778474414265398,0.022776383542452597,0.01903525738869,0.031794412624605604,391356264.8480142,738770.5931372939,741671162.3131503,204618513.10727024,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20930530.097857766,702.717948672402,13252343.881942937,3054276.7675688337,0.0104375586925698,0.000506356173036,0.006703321026171,0.0187015523943594,363917283.7130664,21096.804994044953,447786958.43056935,352004218.10775834,33357666186.876766,37836803.04153754,52018315874.58544,25325399588.48087,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-06,0.0247989685119228,0.022798368708399002,0.018884045532972602,0.031723743781479,391974495.42797405,733919.5883093571,742281949.5878658,205659867.48783422,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20934378.819007736,702.9877333688843,13254118.18694721,3056599.827709,0.0104548250352504,0.0005108617455774,0.0065972962474686,0.018618324972975,365118079.6471918,21129.017678688248,442442059.1003954,351676710.8782812,33439127325.60301,37596567.15358522,51807903451.21331,25356640693.383,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-07,0.0246902082786366,0.0228006430359258,0.0188707652652246,0.031591483070219396,388511639.60050577,732736.0030689935,730603896.1219331,207261937.3941792,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20938166.952649325,703.2580316298739,13255867.055049792,3058844.8960826662,0.010364181840903,0.0005113465252476001,0.006589826636991001,0.0184636156996968,358838921.1037886,21112.69749510956,435016548.66807646,350438455.7276793,32995484105.323578,37536696.56883365,50962034553.7034,25371914005.16788,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-08,0.0239427759925458,0.022680236156149797,0.0185071423715784,0.0313639565053416,368804470.83980924,734277.9971982086,718512896.6076118,210506561.36621287,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20941615.14624795,703.5191687686888,13257509.252686353,3061355.6671525626,0.009747787279581,0.00048676240623480004,0.0063371405069046,0.0182003945013768,319479308.07262826,20222.03440166444,414433900.24747413,349017072.0232691,30311498548.90373,37569093.67482864,49516115762.512825,25453778854.594997,1.5e+17,2e+17,7.5e+16,7.5e+16
2022-06-09,0.023297252167727402,0.0226733266294122,0.0187779485963982,0.0310217340115944,390730343.9557453,742914.7559990739,726364921.0562373,217848976.1575054,0.8249999999999998,0.8249999999999998,0.8249999999999998,0.0,20944787.6576387,703.7753007363675,13259158.520618,3063635.4850195833,0.0092269834300386,0.00048535347722459995,0.0065233339534824,0.0178044898009092,322634047.69573206,20406.057510838295,428883521.05566025,351079333.3679399,31449716164.86705,38008655.90977175,50501384884.6269,25882572707.113495,1.5e+17,2e+17,7.5e+16,7.5e+16
